date,day_avg_temp,max_wind_speed,sea_level_pressure
2024-01-01,43.79,15.0,
2024-01-02,47.67,22.0,
2024-01-03,52.44,28.0,
2024-01-04,46.65,22.0,
2024-01-05,42.63,9.0,
2024-01-06,41.88,9.0,
2024-01-07,37.5,18.0,
2024-01-08,29.58,18.0,
2024-01-09,25.73,13.0,
2024-01-10,26.06,9.0,
2024-01-11,26.15,12.0,
2024-01-12,22.08,8.0,
2024-01-13,24.92,7.0,
2024-01-14,25.23,10.0,
2024-01-15,32.13,14.0,
2024-01-16,25.94,3.0,
2024-01-17,39.69,10.0,
2024-01-18,42.4,22.0,
2024-01-19,30.1,10.0,
2024-01-20,26.42,8.0,
2024-01-21,30.77,13.0,
2024-01-22,38.15,15.0,
2024-01-23,46.25,17.0,
2024-01-24,52.94,21.0,
2024-01-25,51.15,12.0,
2024-01-26,48.67,17.0,
2024-01-27,38.0,9.0,
2024-01-28,39.58,16.0,
2024-01-29,41.19,12.0,
2024-01-30,41.29,9.0,
2024-01-31,43.77,8.0,
2024-02-01,47.67,14.0,
2024-02-02,44.92,10.0,
2024-02-03,42.0,12.0,
2024-02-04,44.35,16.0,
2024-02-05,43.92,13.0,
2024-02-06,43.4,17.0,
2024-02-07,48.48,20.0,
2024-02-08,53.04,16.0,
2024-02-09,50.9,7.0,
2024-02-10,48.02,23.0,
2024-02-11,46.33,16.0,
2024-02-12,46.63,10.0,
2024-02-13,45.02,8.0,
2024-02-14,48.27,8.0,
2024-02-15,49.42,9.0,
2024-02-16,51.44,14.0,
2024-02-17,51.75,12.0,
2024-02-18,48.63,15.0,
2024-02-19,50.69,16.0,
2024-02-20,47.35,14.0,
2024-02-21,45.96,8.0,
2024-02-22,52.35,25.0,
2024-02-23,44.83,22.0,
2024-02-24,41.9,12.0,
2024-02-25,44.48,15.0,
2024-02-26,47.83,12.0,
2024-02-27,44.6,17.0,
2024-02-28,44.88,12.0,
2024-02-29,44.5,6.0,
2024-03-01,44.88,10.0,
2024-03-02,46.31,14.0,
2024-03-03,46.13,21.0,
2024-03-04,44.81,17.0,
2024-03-05,46.21,14.0,
2024-03-06,43.08,15.0,
2024-03-07,42.88,14.0,
2024-03-08,41.73,14.0,
2024-03-09,46.58,13.0,
2024-03-10,45.77,20.0,
2024-03-11,44.64,9.0,
2024-03-12,45.38,15.0,
2024-03-13,49.48,15.0,
2024-03-14,51.4,8.0,
2024-03-15,53.04,22.0,
2024-03-16,52.79,21.0,
2024-03-17,49.81,7.0,
2024-03-18,52.48,9.0,
2024-03-19,52.23,10.0,
2024-03-20,53.71,9.0,
2024-03-21,57.0,16.0,
2024-03-22,56.21,12.0,
2024-03-23,48.44,25.0,
2024-03-24,43.71,23.0,
2024-03-25,46.5,14.0,
2024-03-26,52.35,9.0,
2024-03-27,44.65,22.0,
2024-03-28,46.6,26.0,
2024-03-29,53.48,15.0,
2024-03-30,50.56,16.0,
2024-03-31,46.75,2.0,
2024-04-01,50.17,26.0,
2024-04-02,50.02,18.0,
2024-04-03,49.94,15.0,
2024-04-04,56.56,17.0,
2024-04-05,61.42,15.0,
2024-04-06,65.27,10.0,
2024-04-07,66.63,13.0,
2024-04-08,65.83,13.0,
2024-04-09,52.73,31.0,
2024-04-10,48.0,10.0,
2024-04-11,49.33,7.0,
2024-04-12,55.52,7.0,
2024-04-13,61.29,7.0,
2024-04-14,63.63,16.0,
2024-04-15,59.94,26.0,
2024-04-16,46.23,20.0,
2024-04-17,44.06,17.0,
2024-04-18,42.56,15.0,
2024-04-19,42.7,22.0,
2024-04-20,43.85,16.0,
2024-04-21,40.33,15.0,
2024-04-22,40.69,17.0,
2024-04-23,41.56,14.0,
2024-04-24,40.42,20.0,
2024-04-25,44.21,13.0,
2024-04-26,46.19,9.0,
2024-04-27,56.73,15.0,
2024-04-28,54.29,16.0,
2024-04-29,56.13,9.0,
2024-04-30,59.77,9.0,
2024-05-01,64.35,15.0,
2024-05-02,55.81,21.0,
2024-05-03,53.71,16.0,
2024-05-04,56.08,13.0,
2024-05-05,60.15,16.0,
2024-05-06,56.58,12.0,
2024-05-07,54.5,10.0,
2024-05-08,56.58,17.0,
2024-05-09,58.15,8.0,
2024-05-10,59.81,7.0,
2024-05-11,62.85,6.0,
2024-05-12,65.23,13.0,
2024-05-13,66.27,12.0,
2024-05-14,63.96,20.0,
2024-05-15,58.27,15.0,
2024-05-16,56.29,14.0,
2024-05-17,56.42,16.0,
2024-05-18,57.67,16.0,
2024-05-19,60.48,9.0,
2024-05-20,62.46,14.0,
2024-05-21,58.0,28.0,
2024-05-22,60.02,16.0,
2024-05-23,56.17,10.0,
2024-05-24,57.1,9.0,
2024-05-25,60.42,8.0,
2024-05-26,61.17,9.0,
2024-05-27,61.81,12.0,
2024-05-28,61.85,12.0,
2024-05-29,58.63,9.0,
2024-05-30,60.23,21.0,
2024-05-31,55.56,16.0,
2024-06-01,58.75,13.0,
2024-06-02,59.96,10.0,
2024-06-03,59.31,12.0,
2024-06-04,63.81,7.0,
2024-06-05,67.48,13.0,
2024-06-06,66.67,16.0,
2024-06-07,69.23,14.0,
2024-06-08,65.9,6.0,
2024-06-09,64.73,14.0,
2024-06-10,64.29,15.0,
2024-06-11,58.17,12.0,
2024-06-12,58.69,12.0,
2024-06-13,60.96,8.0,
2024-06-14,62.6,13.0,
2024-06-15,63.25,15.0,
2024-06-16,64.6,12.0,
2024-06-17,64.46,10.0,
2024-06-18,70.85,9.0,
2024-06-19,73.54,15.0,
2024-06-20,69.17,15.0,
2024-06-21,66.42,13.0,
2024-06-22,60.63,15.0,
2024-06-23,62.88,12.0,
2024-06-24,69.5,10.0,
2024-06-25,70.1,13.0,
2024-06-26,69.04,12.0,
2024-06-27,74.9,13.0,
2024-06-28,76.48,16.0,
2024-06-29,75.02,22.0,
2024-06-30,67.58,18.0,
2024-07-01,65.75,14.0,
2024-07-02,61.44,12.0,
2024-07-03,59.96,12.0,
2024-07-04,64.0,20.0,
2024-07-05,67.85,6.0,
2024-07-06,64.35,9.0,
2024-07-07,63.75,12.0,
2024-07-08,68.56,9.0,
2024-07-09,75.54,13.0,
2024-07-10,74.06,10.0,
2024-07-11,74.38,8.0,
2024-07-12,69.27,13.0,
2024-07-13,66.38,10.0,
2024-07-14,66.79,6.0,
2024-07-15,71.02,10.0,
2024-07-16,69.69,18.0,
2024-07-17,69.98,10.0,
2024-07-18,70.88,7.0,
2024-07-19,75.35,10.0,
2024-07-20,77.52,7.0,
2024-07-21,73.17,13.0,
2024-07-22,72.9,14.0,
2024-07-23,70.52,15.0,
2024-07-24,69.0,9.0,
2024-07-25,68.81,7.0,
2024-07-26,72.46,9.0,
2024-07-27,73.52,14.0,
2024-07-28,69.52,14.0,
2024-07-29,71.1,9.0,
2024-07-30,77.73,9.0,
2024-07-31,76.13,15.0,
2024-08-01,73.56,13.0,
2024-08-02,73.1,18.0,
2024-08-03,72.13,13.0,
2024-08-04,71.27,13.0,
2024-08-05,71.46,9.0,
2024-08-06,73.38,10.0,
2024-08-07,70.79,10.0,
2024-08-08,72.08,10.0,
2024-08-09,72.17,13.0,
2024-08-10,75.02,8.0,
2024-08-11,76.38,12.0,
2024-08-12,82.04,12.0,
2024-08-13,79.98,10.0,
2024-08-14,76.69,16.0,
2024-08-15,73.04,12.0,
2024-08-16,75.46,10.0,
2024-08-17,74.17,13.0,
2024-08-18,66.71,14.0,
2024-08-19,68.5,14.0,
2024-08-20,68.52,10.0,
2024-08-21,67.06,15.0,
2024-08-22,64.65,10.0,
2024-08-23,69.67,14.0,
2024-08-24,78.0,23.0,
2024-08-25,66.17,23.0,
2024-08-26,62.73,7.0,
2024-08-27,64.85,9.0,
2024-08-28,73.04,8.0,
2024-08-29,77.33,8.0,
2024-08-30,75.5,9.0,
2024-08-31,73.92,10.0,
2024-09-01,73.83,24.0,
2024-09-02,71.96,9.0,
2024-09-03,72.71,13.0,
2024-09-04,70.44,13.0,
2024-09-05,66.46,17.0,
2024-09-06,66.77,9.0,
2024-09-07,70.35,12.0,
2024-09-08,65.27,14.0,
2024-09-09,61.94,15.0,
2024-09-10,60.5,16.0,
2024-09-11,56.44,15.0,
2024-09-12,51.77,14.0,
2024-09-13,48.31,12.0,
2024-09-14,52.42,14.0,
2024-09-15,49.15,13.0,
2024-09-16,50.6,12.0,
2024-09-17,58.02,16.0,
2024-09-18,59.6,12.0,
2024-09-19,58.08,6.0,
2024-09-20,60.27,7.0,
2024-09-21,61.69,7.0,
2024-09-22,61.73,13.0,
2024-09-23,59.46,14.0,
2024-09-24,60.02,17.0,
2024-09-25,60.94,10.0,
2024-09-26,62.13,17.0,
2024-09-27,57.0,20.0,
2024-09-28,52.15,12.0,
