date,day_avg_temp,max_wind_speed,sea_level_pressure
2024-01-01,40.48,20.0,
2024-01-02,43.81,23.0,
2024-01-03,50.17,26.0,
2024-01-04,43.81,22.0,
2024-01-05,39.02,7.0,
2024-01-06,38.38,6.0,
2024-01-07,35.44,13.0,
2024-01-08,28.0,14.0,
2024-01-09,25.94,15.0,
2024-01-10,26.42,7.0,
2024-01-11,27.35,9.0,
2024-01-12,26.67,7.0,
2024-01-13,26.46,10.0,
2024-01-14,28.29,12.0,
2024-01-15,32.42,15.0,
2024-01-16,28.04,6.0,
2024-01-17,39.06,13.0,
2024-01-18,42.98,21.0,
2024-01-19,27.81,8.0,
2024-01-20,23.1,7.0,
2024-01-21,25.31,10.0,
2024-01-22,37.46,18.0,
2024-01-23,44.44,21.0,
2024-01-24,52.42,23.0,
2024-01-25,49.21,9.0,
2024-01-26,47.31,9.0,
2024-01-27,39.44,9.0,
2024-01-28,33.35,7.0,
2024-01-29,31.19,5.0,
2024-01-30,36.77,6.0,
2024-01-31,39.29,7.0,
2024-02-01,42.33,8.0,
2024-02-02,42.48,7.0,
2024-02-03,41.48,10.0,
2024-02-04,41.94,12.0,
2024-02-05,39.94,9.0,
2024-02-06,38.21,17.0,
2024-02-07,44.15,20.0,
2024-02-08,47.98,16.0,
2024-02-09,47.73,15.0,
2024-02-10,46.69,10.0,
2024-02-11,44.19,20.0,
2024-02-12,43.54,12.0,
2024-02-13,42.15,6.0,
2024-02-14,46.15,12.0,
2024-02-15,44.92,6.0,
2024-02-16,50.06,13.0,
2024-02-17,49.08,8.0,
2024-02-18,47.65,12.0,
2024-02-19,47.77,13.0,
2024-02-20,44.75,9.0,
2024-02-21,44.27,10.0,
2024-02-22,47.75,25.0,
2024-02-23,41.46,23.0,
2024-02-24,41.85,12.0,
2024-02-25,41.56,9.0,
2024-02-26,44.83,8.0,
2024-02-27,45.15,13.0,
2024-02-28,45.83,12.0,
2024-02-29,44.08,7.0,
2024-03-01,42.38,9.0,
2024-03-02,42.65,10.0,
2024-03-03,46.58,14.0,
2024-03-04,43.27,10.0,
2024-03-05,43.52,15.0,
2024-03-06,37.58,7.0,
2024-03-07,39.29,10.0,
2024-03-08,37.5,13.0,
2024-03-09,46.15,12.0,
2024-03-10,44.54,15.0,
2024-03-11,44.02,8.0,
2024-03-12,43.88,13.0,
2024-03-13,45.13,10.0,
2024-03-14,46.58,6.0,
2024-03-15,52.21,12.0,
2024-03-16,49.46,16.0,
2024-03-17,47.19,8.0,
2024-03-18,48.13,10.0,
2024-03-19,47.83,6.0,
2024-03-20,49.52,6.0,
2024-03-21,53.17,14.0,
2024-03-22,53.65,9.0,
2024-03-23,46.77,30.0,
2024-03-24,41.1,20.0,
2024-03-25,43.71,12.0,
2024-03-26,49.23,9.0,
2024-03-27,43.33,21.0,
2024-03-28,41.94,22.0,
2024-03-29,50.56,24.0,
2024-03-30,57.94,24.0,
2024-03-31,46.25,8.0,
2024-04-01,48.4,22.0,
2024-04-02,49.15,21.0,
2024-04-03,46.25,17.0,
2024-04-04,54.71,16.0,
2024-04-05,60.6,20.0,
2024-04-06,61.33,8.0,
2024-04-07,60.67,7.0,
2024-04-08,62.9,13.0,
2024-04-09,49.69,22.0,
2024-04-10,46.63,12.0,
2024-04-11,48.5,12.0,
2024-04-12,54.13,7.0,
2024-04-13,59.13,5.0,
2024-04-14,64.0,10.0,
2024-04-15,58.46,20.0,
2024-04-16,45.52,20.0,
2024-04-17,41.23,16.0,
2024-04-18,38.02,14.0,
2024-04-19,39.1,17.0,
2024-04-20,39.46,12.0,
2024-04-21,36.06,13.0,
2024-04-22,36.21,12.0,
2024-04-23,39.06,15.0,
2024-04-24,39.88,15.0,
2024-04-25,41.56,15.0,
2024-04-26,45.27,10.0,
2024-04-27,52.38,16.0,
2024-04-28,51.79,21.0,
2024-04-29,55.1,10.0,
2024-04-30,60.08,16.0,
2024-05-01,62.28,14.0,
2024-05-02,55.75,24.0,
2024-05-03,51.17,14.0,
2024-05-04,54.75,8.0,
2024-05-05,59.65,16.0,
2024-05-06,55.1,12.0,
2024-05-07,52.52,7.0,
2024-05-08,54.65,10.0,
2024-05-09,56.75,13.0,
2024-05-10,58.4,9.0,
2024-05-11,60.65,7.0,
2024-05-12,62.94,10.0,
2024-05-13,63.46,7.0,
2024-05-14,62.35,16.0,
2024-05-15,58.42,17.0,
2024-05-16,55.31,12.0,
2024-05-17,54.65,13.0,
2024-05-18,56.81,17.0,
2024-05-19,58.21,10.0,
2024-05-20,62.19,9.0,
2024-05-21,57.54,15.0,
2024-05-22,58.19,10.0,
2024-05-23,54.71,10.0,
2024-05-24,55.15,20.0,
2024-05-25,56.4,9.0,
2024-05-26,60.21,10.0,
2024-05-27,58.77,10.0,
2024-05-28,59.0,8.0,
2024-05-29,56.31,10.0,
2024-05-30,58.48,14.0,
2024-05-31,52.0,10.0,
2024-06-01,54.08,8.0,
2024-06-02,57.56,9.0,
2024-06-03,57.88,8.0,
2024-06-04,62.96,6.0,
2024-06-05,64.98,9.0,
2024-06-06,65.54,14.0,
2024-06-07,67.85,10.0,
2024-06-08,67.38,10.0,
2024-06-09,64.81,12.0,
2024-06-10,63.17,13.0,
2024-06-11,53.63,12.0,
2024-06-12,56.54,8.0,
2024-06-13,58.9,7.0,
2024-06-14,60.06,14.0,
